canonical_name,synonyms,category,evidence_level,evidence_summary,dose_min,dose_max,dose_unit,dose_notes,perimenopause_specific,primary_claim,ssri_interaction,thyroid_interaction,bleeding_risk,liver_caution,hormone_active,pregnancy_safe,regulatory_risk,research_gaps
Talc,Magnesium silicate; as Talc; E553b,Excipient,None,Glidant and anti-caking agent. EFSA reviewed safety — approved for food use. Concerns about asbestos contamination in cosmetic talc but pharmaceutical/food grade is tested and regulated.,0,0,mg,Pharmaceutical-grade talc is tested for asbestos contamination and is regulated; cosmetic talc concerns do not directly apply to supplement-grade material; used at very low levels.,No,None,No,No,No,No,No,Yes,Low,Consumer perception concerns despite regulatory approval; asbestos testing certification important for quality assurance.
Vitamin E Tocotrienol,Delta-tocotrienol; Gamma-tocotrienol; Tocotrienol complex; as Tocotrienol; DeltaGold; EVNol,Vitamin,Some,"RCTs show cardiovascular, bone, and anti-cancer properties. May be more potent antioxidants than tocopherols. Some evidence for hot flush reduction. Less studied than tocopherols.",50,200,mg,Palm-derived (EVNol) is most common commercial source; annatto-derived (DeltaGold) provides delta-tocotrienols specifically; fat-soluble — take with food; may interfere with alpha-tocopherol absorption if co-supplemented at high doses.,Yes,Cardiovascular/bone,No,No,Yes,No,No,Yes,Low,Perimenopause-specific long-term RCTs for bone and cardiovascular outcomes are limited.
Quercetin,Quercetin; Quercetin dihydrate; as Quercetin; EMIQ; isoquercetin,Botanical,Some,"RCTs show anti-inflammatory, antiviral (COVID-19 studies), cardiovascular, and allergy benefits. Poor bioavailability of standard quercetin — EMIQ and isoquercetin forms have enhanced bioavailability. Some evidence for bone health.",250,1000,mg,"Standard quercetin has very poor oral bioavailability; EMIQ (enzymatically modified isoquercitrin) and isoquercetin have superior absorption; may interact with some drug transporters (P-gp, BCRP); generally well tolerated.",No,Anti-inflammatory,No,No,Possible,No,No,Yes,Low,Perimenopause-specific RCTs and optimal bioavailable form not established.
Apigenin,as Apigenin; chamomile apigenin; apigenin 7-glucoside,Botanical,Limited,Limited RCT evidence; potential anti-oestrogenic and anti-inflammatory effects. Sleep research interest (binds GABA-A receptors). Present in chamomile. Most evidence preclinical.,10,50,mg,Limited human clinical data; potential interaction with oestrogen-sensitive conditions; research at early stage; found in chamomile tea and various plant foods.,No,Sleep/anti-inflammatory,No,No,No,No,Yes,Unknown,Low,Almost no human RCT evidence; preclinical data cannot be extrapolated to clinical dosing.
Chamomile,Matricaria chamomilla; as Chamomile; German chamomile; Chamomile extract,Botanical,Some,RCTs show mild anxiolytic and sleep benefits. Some evidence for generalised anxiety disorder. Generally very well tolerated. Ragweed allergy cross-reactivity possible.,220,1100,mg,Avoid in ragweed/composite plant allergy; may mildly potentiate sedative effects; generally very well tolerated; apigenin is likely active component.,No,Anxiety/sleep,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs are lacking; most evidence from general anxiety populations.
Ashwagandha Sensoril,Withania somnifera Sensoril; as Ashwagandha Sensoril; 10% withanolides,Botanical,Some,"Sensoril (Natreon) has specific RCTs for stress, cognitive function, and sleep at lower doses than KSM-66. Higher withanolide content. Both root and leaf extract used.",125,250,mg,Higher withanolide content than KSM-66; root and leaf extract blend; specific Sensoril RCTs differ from KSM-66 evidence — cannot be considered interchangeable; 125-250mg dosing versus 300-600mg for KSM-66.,Yes,Stress/sleep,No,Yes,No,No,Yes,No,Low,Direct comparison RCTs of Sensoril vs KSM-66 for perimenopausal outcomes lacking.
Sulforaphane,Broccoli glucosinolates; SGS; Brassica oleracea extract; as Sulforaphane,Botanical,Some,"RCTs show antioxidant, anti-inflammatory, and hormonal metabolism benefits (oestrogen detoxification via NRF2 pathway). Some evidence for menopausal symptom reduction and oestrogen metabolism. Bioavailability varies with food processing.",10,50,mg,Myrosinase enzyme needed for sulforaphane formation from glucoraphanin — co-supplementation with myrosinase or mustard powder improves yield; broccoli sprouts have higher glucoraphanin than mature broccoli; highly relevant for oestrogen metabolism and DIM pathway.,Yes,Oestrogen metabolism,No,No,No,No,Yes,Yes,Low,Perimenopause-specific oestrogen detoxification RCTs and optimal dose not well established.
DIM,"Diindolylmethane; 3,3'-Diindolylmethane; as DIM; Brassica indole",Botanical,Some,"Some RCTs for oestrogen metabolism, promoting 2-OH oestrogen metabolites over 16-OH. Evidence for breast cancer risk reduction and hormonal balance. Highly relevant to perimenopause oestrogen metabolism.",100,300,mg,Promotes beneficial oestrogen metabolite pathway (2-OHE1 vs 16-OHE1); absorption improved with microencapsulation (BioResponse DIM); may cause harmless darkening of urine; oestrogen-active — caution in oestrogen-sensitive conditions; may interact with CYP1A2 substrates.,Yes,Oestrogen metabolism,No,No,No,No,Yes,Unknown,Medium,Long-term perimenopause safety and impact on oestrogen-sensitive tissue not established.
I3C,Indole-3-carbinol; as I3C; as Indole-3-Carbinol,Botanical,Limited,Precursor to DIM; less stable than DIM in gastric conditions. Some evidence for oestrogen metabolism and cervical health. Less reliable than DIM due to pH-dependent conversion.,200,800,mg,Converts to DIM and other compounds in stomach; DIM may be preferred for more predictable pharmacokinetics; cervical dysplasia RCT evidence; oestrogen-active; caution in oestrogen-sensitive conditions.,Yes,Oestrogen metabolism,No,No,No,Yes,Yes,Unknown,Medium,DIM may be more pharmacokinetically reliable; perimenopause-specific long-term safety unclear.
Rhodiola crenulata,Rhodiola; Hong Jing Tian; as Rhodiola crenulata,Botanical,Limited,Different species from R. rosea with different active compound profile. Limited RCT evidence. Often mislabelled or substituted for R. rosea in commercial products.,200,600,mg,Distinct from Rhodiola rosea; standardised to salidrosides rather than rosavins/salidroside combination; limited independent RCT evidence vs R. rosea; quality control and species authentication important.,No,Adaptogenic support,No,No,No,No,No,Yes,Low,Species distinction from R. rosea not always maintained in commercial products; independent RCTs very limited.
Astragalus,Astragalus membranaceus; as Astragalus; Huang Qi; TA-65,Botanical,Limited,Limited RCT evidence for immune function and telomere extension (TA-65 proprietary extract). Anti-ageing claims not well supported by human trial evidence. Immune modulation in oncology settings studied.,250,500,mg,TA-65 is proprietary cycloastragenol extract with telomerase activation claims — limited robust independent RCT evidence; standard astragalus has better immune evidence; may interact with immunosuppressant medications.,No,Immune support,No,No,No,No,No,Yes,Low,Anti-ageing and telomere claims significantly outpace robust independent RCT evidence.
Cinnamon Extract,Cinnamomum verum; Cinnamomum cassia; as Cinnamon Extract; ceylon cinnamon; cassia cinnamon,Botanical,Some,RCTs show modest blood glucose lowering and insulin sensitising effects. Ceylon cinnamon preferred over cassia due to lower coumarin content. Some PCOS evidence. Perimenopause metabolic relevance.,1000,6000,mg,Ceylon cinnamon has very low coumarin; cassia cinnamon has high coumarin — hepatotoxic at high doses; cassia should not be used at high supplemental doses long-term; modest evidence for glycaemic management.,No,Blood glucose control,No,No,No,Yes,No,Yes,Medium,Long-term perimenopause metabolic RCTs and safe upper dose for cassia form not established.
Olive Leaf Extract,Oleuropein; Olive leaf polyphenols; as Olive Leaf Extract; Olivenol; EFLA943,Botanical,Some,"RCTs show blood pressure lowering, antioxidant, and anti-inflammatory benefits. EFLA943 standardised extract has most evidence for cardiovascular outcomes. Mediterranean diet relevance.",500,1000,mg,Standardised to oleuropein; EFLA943 extract has blood pressure RCT evidence; generally well tolerated; antihypertensive effect — additive with blood pressure medication.,No,Blood pressure,No,No,No,No,No,Yes,Low,Perimenopause-specific cardiovascular RCTs are limited; blood pressure interaction with antihypertensive medication management needed.
Elderberry,Sambucus nigra; as Elderberry; Sambucol; BerryPharma,Botanical,Some,RCTs show Sambucol elderberry extract reduces severity and duration of cold and flu symptoms. Immune stimulation mechanism. Well tolerated. Most evidence from cold/flu intervention studies.,150,900,mg,Sambucol is most-studied standardised extract; raw elderberries contain toxic compounds — must be cooked or extracted; well tolerated at supplement doses; immune stimulation — theoretical caution in autoimmune conditions.,No,Immune support,No,No,No,No,No,Yes,Low,Perimenopause-specific immune and hormonal outcome RCTs are absent.
Echinacea,Echinacea purpurea; Echinacea angustifolia; as Echinacea; coneflower,Botanical,Some,Multiple RCTs show modest reduction in cold incidence and duration. Evidence for immune activation. Purpurea species best studied. Well tolerated short-term. Not recommended in autoimmune conditions.,900,4000,mg,"Echinacea purpurea has most evidence; avoid in autoimmune conditions (MS, SLE, RA); member of daisy family — ragweed allergy cross-reactivity; short courses (max 8 weeks) conventionally recommended.",No,Immune support,No,No,No,No,No,Yes,Low,Long-term continuous use safety and perimenopause-specific immune outcome RCTs are lacking.
Vitamin C Buffered,Sodium ascorbate; Calcium ascorbate; Ester-C; as Buffered Vitamin C,Vitamin,Some,Better tolerated by sensitive stomachs than ascorbic acid. Comparable bioavailability to standard ascorbic acid. Ester-C (calcium ascorbate with metabolites) claims superior bioavailability — evidence limited.,500,2000,mg,Preferred for individuals who experience GI discomfort with ascorbic acid; sodium ascorbate contributes sodium to diet — relevant for low-sodium diets; Ester-C bioavailability advantage over regular ascorbate not convincingly demonstrated.,No,Immune function,No,Possible,No,No,No,Yes,Low,Clinical superiority of buffered/Ester-C forms over standard ascorbic acid not established in head-to-head RCTs.
Choline,Choline bitartrate; Choline chloride; as Choline; CDP-Choline precursor,Other,Some,"Essential nutrient for liver function, brain development, and methylation. Many women are deficient. RCTs show benefits for cognitive function and liver health. AI established but not formally listed as UK RNI.",250,1000,mg,"UK does not have a formal RNI for choline; AI is 550mg/day for men, 425mg for women; choline bitartrate most common supplement form; fishy odour side effect at high doses; component of methylation cycle alongside folate and B12.",No,Liver/cognitive health,No,No,No,No,No,Yes,Low,Choline requirements during perimenopause transition (reduced oestrogen affects hepatic choline synthesis) not well established.
Inositol,Myo-inositol; D-chiro-inositol; as Inositol; as Myo-Inositol; Ovosit,Other,Some,Multiple RCTs demonstrate myo-inositol improves insulin sensitivity and ovarian function in PCOS. Some evidence for metabolic syndrome and anxiety (as phosphoinositol). Relevant to perimenopausal insulin resistance.,2000,4000,mg,Myo-inositol:D-chiro-inositol at 40:1 ratio mirrors physiological ratio in many PCOS RCTs; anxiety evidence at higher doses (18g/day); well tolerated; not the same as inositol hexaniacinate (different compound); relevant for perimenopausal metabolic change.,Yes,Insulin sensitivity,No,No,No,No,No,Yes,Low,Perimenopause-specific metabolic syndrome and insulin resistance RCTs are limited.
Glucosamine Sulfate,as Glucosamine Sulfate; glucosamine HCl; DONA; N-acetylglucosamine,Other,Strong,Multiple RCTs and a Cochrane review show glucosamine sulfate reduces knee OA pain and may slow cartilage degradation. DONA (1500mg/day crystalline glucosamine sulfate) has strongest evidence. Joint pain is common perimenopause symptom.,1500,1500,mg,DONA crystalline glucosamine sulfate (Rottapharm/Madaus) has most evidence at exactly 1500mg/day; glucosamine HCl has less RCT support; sulfate form preferred; may slightly affect blood glucose — caution in diabetes; derived from shellfish.,Yes,Joint pain relief,No,No,No,No,No,Yes,Low,Long-term perimenopause-specific joint health RCTs not available; most OA evidence from general adult populations.
Chondroitin Sulfate,as Chondroitin Sulfate; chondroitin; bovine chondroitin,Other,Some,"RCTs show modest joint pain and function benefits in OA, particularly when combined with glucosamine. Evidence for standalone chondroitin is less consistent. Perimenopause joint health relevance.",800,1200,mg,Usually combined with glucosamine; bovine and marine-derived chondroitin available; quality and standardisation varies widely between products; shark-derived versions face sustainability concerns.,Yes,Joint health,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs and comparison of chondroitin sources are lacking.
MSM,Methylsulfonylmethane; as MSM; dimethyl sulfone; DMSO2,Other,Some,"RCTs show anti-inflammatory and joint pain benefits, particularly in OA and exercise-induced muscle soreness. Often combined with glucosamine/chondroitin. Well tolerated.",1000,6000,mg,Generally well tolerated; may have anti-inflammatory additive effect with glucosamine and chondroitin; derived from DMSO chemistry — sulphur-containing compound.,Yes,Joint pain relief,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs are limited; combination with glucosamine/chondroitin vs standalone not well established.
Spirulina,Arthrospira platensis; as Spirulina; blue-green algae; Spirulina maxima,Other,Some,"RCTs show antioxidant, anti-inflammatory, blood glucose, and lipid management benefits. High protein content and micronutrient density. Heavy metal contamination risk with low-quality sources.",1000,8000,mg,"Heavy metal (lead, mercury, arsenic) contamination risk with non-certified sources — quality certification critical; may cause nausea at high doses; contains phenylalanine — avoid in phenylketonuria; some thyroid iodine relevance.",No,Antioxidant/nutrition,No,Yes,No,No,No,Yes,Medium,Post-2022: quality and contamination concerns highlighted; perimenopause-specific RCTs are absent.
Chlorella,Chlorella vulgaris; as Chlorella; green algae; Chlorella pyrenoidosa,Other,Limited,"Limited RCT evidence for detoxification, cholesterol, and nutritional supplementation. Heavy metal binding properties studied. Limited perimenopause-specific data.",1200,5000,mg,Heavy metal contamination risk — quality certification important; may interfere with warfarin (vitamin K content); gradually introduce to prevent GI upset; contains iodine — relevant for thyroid.,No,Detoxification/nutrition,No,Yes,No,No,No,Yes,Medium,Independent high-quality RCTs for perimenopausal applications are essentially absent.
Activated Charcoal,as Activated Charcoal; activated carbon,Other,None,No RCT evidence for detoxification in healthy individuals. Used medically for acute poisoning. Significantly interferes with absorption of all supplements and medications if taken simultaneously. Should not be used as supplement.,0,0,mg,AVOID co-administration with any supplement or medication — activated charcoal absorbs virtually all oral compounds non-selectively; no evidence for detoxification in healthy people; may cause constipation; interferes with nutrient absorption.,No,None,No,Yes,No,No,No,Unknown,High,No credible evidence base for wellness detoxification claims; significant risk of supplement/medication interference.
Ubiquinone (High Dose),CoQ10 100mg+; as High-dose CoQ10; Ubidecarenone 100mg,Performance,Some,"At doses above 100mg, absorption efficiency decreases. Some specific clinical applications (migraine prevention, Parkinson's, heart failure) use 300-1200mg. Standard perimenopause supplementation needs are typically met at 100-200mg.",100,400,mg,Fat-soluble — take with fatty meal; divided doses (morning and lunchtime) preferred above 200mg; choose solubilised or nano-emulsion forms for superior absorption at higher doses.,Yes,Mitochondrial support,No,No,No,No,No,Yes,Low,Optimal dose range specifically for perimenopausal energy and cardiovascular outcomes not established.
Nattokinase,as Nattokinase; subtilisin NAT; NSK-SD,Other,Some,Limited RCTs show fibrinolytic and blood pressure lowering effects. Significant anticoagulant activity. Derived from fermented soy (natto). Perimenopause cardiovascular relevance but significant drug interaction concern.,100,200,mg,"Significant anticoagulant/fibrinolytic activity — CONTRAINDICATED with warfarin, aspirin, clopidogrel and other anticoagulants; stop 2 weeks before surgery; not suitable with HRT-related cardiovascular monitoring without medical oversight.",No,Cardiovascular support,No,No,Yes,No,No,Unknown,Medium,Anticoagulant interaction profile in perimenopausal women not well characterised; small RCT base.
Serrapeptase,as Serrapeptase; serralysin; Serratia peptidase,Other,Limited,Limited and inconsistent RCT evidence for anti-inflammatory and pain relief applications. Derived from Serratia bacteria. Anticoagulant properties. Evidence base weak compared to NSAIDs.,10,60,mg,Enteric coating required for oral bioavailability; anti-platelet/anticoagulant effects — caution with blood thinners; limited robust RCT evidence; take on empty stomach.,No,Anti-inflammatory,No,No,Yes,No,No,Unknown,Medium,Evidence base is thin and inconsistent; perimenopause-specific applications not studied.
Grapefruit Seed Extract,GSE; Citrus paradisi seed extract; as Grapefruit Seed Extract,Other,Limited,Antimicrobial properties primarily studied in vitro. Oral RCT evidence for systemic benefits limited. Significant CYP3A4 inhibition — major drug interaction risk.,100,500,mg,"SIGNIFICANT DRUG INTERACTION: inhibits CYP3A4 — can dramatically increase blood levels of statins, CCBs, immunosuppressants, benzodiazepines and many other medications; avoid with multiple medications; antimicrobial evidence primarily in vitro.",No,Antimicrobial,No,No,No,No,No,Yes,High,CYP3A4 drug interaction profile makes this unsuitable for combination products without prescriber oversight.
Colostrum,Bovine colostrum; as Colostrum; first milk,Other,Some,"RCTs show immune modulation, gut integrity, and exercise recovery benefits. Contains IgG antibodies, growth factors, and lactoferrin. Some GI health evidence. Not suitable for vegans.",500,10000,mg,Bovine-derived — not suitable for vegans or those with milk protein allergy; IgA and IgG content varies between products; generally well tolerated; some evidence for gut permeability.,No,Immune/gut support,No,No,No,No,No,Yes,Low,Perimenopause-specific immune and hormonal outcome RCTs are absent.
Lactoferrin,as Lactoferrin; bovine lactoferrin; apolactoferrin,Other,Some,"RCTs show iron absorption enhancement, antimicrobial, and immune benefits. Iron-binding glycoprotein from milk. Some evidence for gut health and bone density in postmenopausal women.",100,300,mg,Bovine-derived — not suitable for vegans; iron-binding — take separately from iron supplements; well tolerated; apolactoferrin (iron-free form) and lactoferrin have different properties.,Yes,Iron absorption/immune,No,No,No,No,No,Yes,Low,Perimenopause-specific bone and iron absorption RCTs are limited.
Ginger Root,Zingiber officinale; as Ginger Root; ginger extract; gingerol,Botanical,Some,"Multiple RCTs for nausea, anti-inflammatory effects, and blood glucose management. Some evidence for joint pain. Antiplatelet activity at high doses. Generally very well tolerated.",250,2000,mg,Anticoagulant/antiplatelet at high doses — caution with warfarin; take with food to reduce GI irritation; generally well tolerated at dietary levels; standardised to gingerols and shogaols.,No,Anti-nausea,No,No,Possible,No,No,Yes,Low,Perimenopause-specific anti-inflammatory and metabolic outcome RCTs are limited.
Cayenne/Capsaicin,Capsicum annuum; Capsaicin; as Cayenne; TRPV1 agonist,Botanical,Limited,"Limited RCT evidence for metabolic rate, satiety, and topical pain. Oral capsaicin supplement evidence thin. Thermogenic effects modest in RCTs.",2,135,mg,High doses cause GI irritation; topical forms have much stronger evidence than oral for pain; thermogenic evidence modest and transient; generally well tolerated at supplement doses.,No,Metabolic support,No,No,No,No,No,Yes,Low,Perimenopause-specific metabolic RCTs for oral capsaicin supplementation are absent.
Coenzyme Q10 with PQQ,CoQ10 + PQQ combination; as CoQ10 PQQ complex,Performance,Limited,Combination products lack independent RCT evidence. Each ingredient has separate evidence bases that may be synergistic but human combination RCTs are minimal.,0,0,mg,Evaluate each component separately; no meaningful synergy-specific human RCT evidence; combination products driven by theoretical mechanism not clinical trial evidence.,No,Mitochondrial support,No,No,No,No,No,Yes,Low,No robust combination RCT evidence; theoretical synergy not validated in human trials.
Zinc Carnosine,Polaprezinc; L-carnosine zinc chelate; as Zinc Carnosine,Other,Some,"RCTs show benefit for gut mucosal repair, H. pylori eradication adjunct, and GI integrity. Different from zinc and carnosine separately — unique chelated compound. Perimenopause GI health relevance.",37,150,mg,Unique chelated compound; distinct from separate zinc and carnosine supplementation; licensed as medicine in Japan; GI mucosal protective applications; take with or after food.,No,Gut mucosal repair,No,Yes,No,No,No,Yes,Low,Perimenopause-specific GI health RCTs are absent; most evidence from gastroenterology settings.
Bromelain,Pineapple enzyme; as Bromelain; pineapple protease,Other,Some,RCTs show anti-inflammatory and sinusitis benefits. Some evidence for muscle recovery after exercise. Antiplatelet activity. Often combined with quercetin and other anti-inflammatories.,200,1000,mg,Anticoagulant/antiplatelet — caution with blood thinners; may affect some drug absorption; take on empty stomach for systemic anti-inflammatory effect; with food for digestive enzyme effect.,No,Anti-inflammatory,No,No,Yes,No,No,Yes,Low,Perimenopause-specific anti-inflammatory RCTs are absent.
Black Pepper Extract,Bioperine; Piperine; as Black Pepper Extract; as Piperine,Other,Some,"RCTs show piperine significantly enhances bioavailability of curcumin (2000%), selenium, CoQ10, and other supplements by inhibiting intestinal metabolism. Standalone benefits limited at supplement doses.",5,20,mg,"CYP3A4 inhibitor — may interact with many medications similarly to grapefruit; at supplement doses (5-20mg), interactions are generally clinically minor but caution with narrow therapeutic index drugs; Bioperine is standardised form.",No,Bioavailability enhancer,Possible,No,No,No,No,Yes,Low,CYP3A4 inhibition magnitude at supplement doses (5-20mg) in perimenopause populations and interaction with multiple simultaneous medications not established.
Copper Bisglycinate,as Copper Bisglycinate; chelated copper; copper glycinate,Mineral,Limited,"Limited standalone RCT evidence; copper is an essential cofactor for iron metabolism, collagen crosslinking, and superoxide dismutase antioxidant activity. Bisglycinate form offers superior bioavailability versus gluconate or sulfate forms.",0.9,3,mg,Commonly included to offset copper depletion from zinc supplementation; bisglycinate form preferred for tolerability; upper tolerable limit 5mg/day.,No,Metabolic cofactor,No,No,No,No,No,Yes,Low,Independent perimenopause-specific RCTs are absent.
Potassium Citrate,as Potassium Citrate; potassium; dipotassium citrate,Mineral,Some,RCTs support potassium for blood pressure management and kidney stone prevention. Electrolyte balance relevant to perimenopausal cardiovascular health. Most dietary potassium should come from food.,99,800,mg,EU supplements limited to 99mg per daily dose in many jurisdictions due to cardiovascular risk at high supplemental doses; blood pressure medication interaction; caution in renal impairment; high-dose supplementation requires medical oversight.,No,Blood pressure,No,No,No,No,No,Yes,Medium,Perimenopause-specific cardiovascular supplementation RCTs using potassium are limited.
Sodium (as Sodium Chloride),Salt; NaCl; as Sodium; sodium chloride,Excipient,None,Electrolyte; not supplemented in women's health supplements for nutritional benefit — relevant only as excipient or in electrolyte formulas. Excess sodium associated with hypertension and calcium excretion.,0,0,mg,Most women consume excess sodium from diet; supplemental sodium only appropriate in electrolyte/sports contexts; sodium ascorbate is common vitamin C form that contributes sodium.,No,None,No,No,No,No,No,Yes,Low,Not applicable in typical women's health supplementation context.
Phosphorus,Phosphate; dicalcium phosphate; as Phosphorus; DCP,Mineral,None,Essential mineral but widespread in diet; supplementation not appropriate in otherwise healthy perimenopausal women. Used as excipient (DCP) in tablets. Excess phosphorus impairs calcium and magnesium absorption.,0,0,mg,Dicalcium phosphate commonly used as excipient/filler in tablets; adequate phosphorus is easily obtained from diet; supplementation not recommended in typical healthy perimenopausal women.,No,None,No,No,No,No,No,Yes,Low,Not applicable for supplementation in healthy perimenopausal women.
Larch Arabinogalactan,ResistAid; as Larch Arabinogalactan; arabinogalactan; AG,Other,Limited,Limited RCT evidence for immune modulation and prebiotic activity. Soluble fibre with bifidogenic properties. Some evidence for NK cell activity. Relatively few high-quality trials.,4500,9000,mg,Generally well tolerated; mild gas and bloating possible; soluble fibre prebiotic activity; limited independent clinical evidence base.,No,Immune/prebiotic,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs are absent; limited evidence base compared to established prebiotics.
Saccharomyces cerevisiae,Brewers yeast; Nutritional yeast; as Saccharomyces cerevisiae; selenium yeast; chromium yeast,Other,Some,Used as substrate for selenium and chromium yeast; whole yeast has B vitamin mineral and beta-glucan content. Beta-glucan from yeast has immune modulation evidence. Not the same as S. boulardii probiotic.,500,2000,mg,Different from Saccharomyces boulardii probiotic strain; good source of B vitamins and minerals; yeast beta-glucan has different immune evidence from oat/barley beta-glucan; avoid in yeast allergy.,No,Nutritional support,No,No,No,No,No,Yes,Low,Perimenopause-specific clinical outcomes using S. cerevisiae supplementation are not well established.
Grape Skin Extract,Anthocyanins; Pterostilbene; as Grape Skin Extract; red grape polyphenols; OPC,Botanical,Limited,"Limited RCT evidence for cardiovascular and cognitive benefits. Contains anthocyanins, pterostilbene, and OPCs. Pterostilbene may be more bioavailable than resveratrol. Limited perimenopause-specific data.",100,500,mg,Pterostilbene (methylated resveratrol analogue) has better bioavailability than resveratrol; anthocyanin content varies widely between products; mild anticoagulant activity.,No,Antioxidant/cardiovascular,No,No,Possible,No,No,Yes,Low,Perimenopause-specific RCTs for cognitive and cardiovascular outcomes are absent; standardisation varies.
Açaí Berry,Euterpe oleracea; as Açaí; Acai berry extract; Açaí palm,Botanical,None,No meaningful human RCT evidence for any specific health outcome. Marketed heavily for antioxidant and weight loss claims. Antioxidant capacity in vitro does not translate to clinical outcomes.,1000,4000,mg,Antioxidant capacity tests (ORAC) do not predict clinical benefit; weight loss claims unsupported by RCT evidence; no safety concerns at supplement doses but no demonstrated efficacy.,No,None,No,No,No,No,No,Yes,Low,No clinical RCT evidence base exists to support marketed health claims.
Pomegranate Extract,Punica granatum; as Pomegranate Extract; pomegranate polyphenols; Pomanox; ellagic acid,Botanical,Some,"Some RCTs show cardiovascular, blood pressure, and joint health benefits. Ellagitannins converted to urolithins by gut bacteria — variable individual response. Some menopausal symptom data.",250,1000,mg,Urolithin conversion from ellagitannins is gut microbiome dependent — variable individual response; Pomanox and PomellaTM are standardised extracts with human data; generally well tolerated; mild anticoagulant effect.,Yes,Cardiovascular/joint,No,No,Possible,No,No,Yes,Low,Individual response variation based on urolithin-producing microbiome status makes population-level efficacy prediction difficult.
Urolithin A,Mitopure; as Urolithin A; UA; ellagitannin metabolite,Performance,Some,"Post-2022: Mitopure (Timeline Nutrition) has RCT evidence for mitophagy activation, muscle endurance, and cellular energy in middle-aged and older adults. Novel ingredient with growing evidence base specific to ageing populations.",250,1000,mg,Post-2022: Mitopure has now accumulated multiple human RCTs; urolithin A bypasses gut microbiome conversion step unlike pomegranate extract; generally well tolerated; novel ingredient with good safety profile to date; highly relevant to perimenopausal cellular health.,Yes,Cellular energy/muscle,No,No,No,No,No,Yes,Low,Post-2022: evidence base growing rapidly; long-term safety data (>12 months) and perimenopause-specific hormonal outcome data needed.
